Category: Fraud Detection

Q1: 「詐欺のトライアングル」の 3 つの要素は次のとおりです。
A: 不正のトライアングルは不正発生の理由を説明: 圧力または動機(財務ストレス、目標)、機会(弱い統制)、正当化(行動の合理化)。不正リスク要因の特定に役立つ。

Q2: 財務諸表詐欺の「危険信号」となるのは次のうちどれですか?
A: レッドフラッグには期末の異常または複雑な取引、重要な関連当事者取引、説明不能な収益成長、業界変動にかかわらない一貫した利益率、情報提供の渋りが含まれる。

Q3: 「フォレンジック監査」は、次の点で通常の監査とは異なります。
A: フォレンジック監査は会計、監査、調査スキルを組み合わせ不正と紛争を調査。証拠収集の法的基準に従い専門家証言を含み通常の監査を超える専門技術を使用。

Q4: 不正行為検出のためのデータ分析手法には、以下を除くすべての手法が含まれます。
A: 通常の減価償却計算は標準的な会計手続きで不正検出技術ではない。ベンフォードの法則、重複検出、層化、ギャップ分析、異常検出はすべてデータ分析手法。

Q5: 「内部告発ホットライン」は、以下を検出するのに最も効果的です。
A: 公益通報ホットラインは経営者回避または従業員間の共謀を含む不正の発見に有効。複数の人が不正を隠蔽するシナリオは通常手続では検出が困難。

Q6: 「資産横領」詐欺には以下が含まれます。
A: 資産不正使用は最も一般的な職業上の不正で会社資産の窃取または不正使用。現金スキミング、在庫窃取、不正経費請求、給与不正が含まれる。

Q7: 架空の収益を検出するのに最も効果的な監査手順はどれですか?
A: 架空収益は収益分析(異常パターン)、後続現金回収テスト(真正な収益は現金回収に繋がる)、顧客確認(報告された販売が真正であることの検証)で最もよく検出。

Q8: 詐欺における「職業的懐疑論」とは、次のことを意味します。
A: 職業的懐疑心は疑問を持つ心を維持し、証拠を批判的に評価し、矛盾証拠に警戒し、情報を額面通り受け取らないことを含む。すべてを不信するのではなく、油断しないことを意味。

Q9: 「企業詐欺」（財務諸表詐欺）には通常、次のような行為が含まれます。
A: 財務諸表不正は投資家、債権者、他のステークホルダーを欺くための財務諸表の意図的操作。通常経営者が関与し早期収益認識、隠蔽費用、資産過大計上等の手法を含む。

Q10: 一般的な「汚職」スキームは次のうちどれですか?
A: 汚職スキームには贈賄(決定に影響を与えるための支払い)、キックバック(契約と引き換えのベンダーへの支払い)、利益相反(開示されていない個人的関係を持つ者への契約付与)が含まれる。

Q11: データ分析では、「重複支払いの検出」により次のことが特定されます。
A: 重複支払検出は類似属性(同一ベンダー、金額、請求書番号、日付)を共有する支払いを識別するアルゴリズムを使用。エラーまたは意図的不正スキームを示唆。

Q12: 「詐欺ダイヤモンド」は、以下を追加することで詐欺トライアングルを拡張します。
A: 不正のダイヤモンドは伝統的なトライアングルに「能力」を追加。圧力、機会、正当化があっても不正には実行者に実行能力(地位、知性、自信)が必要。

Q13: 給与計算上の「ゴースト従業員」は次の例です。
A: ゴースト従業員は架空の人物が給与台帳に追加され給与が加害者に転送されるもの。給与を通じた資産不正使用。給与リストと現役従業員記録の比較で検出可能。

Q14: 監査人は、以下について「合理的な保証」を得るために監査を計画し、実行する責任があります。
A: 監査人は財務諸表が不正による重要な虚偽表示から自由であることについて合理的保証を得る責任がある。不正リスクの評価、対応手続の設計、職業的懐疑心の維持。

Q15: 在庫過大評価を検出するのに最も役立つ分析手順はどれですか?
A: 在庫回転率が業界基準または前期から大幅に逸脱する場合は過大計上(架空在庫)を示唆。粗利益マージン分析と組み合わせると在庫不正検出の強力な分析手続。

