Category: Audit Evidence

Q1: 以下の場合、監査証拠は十分であるとみなされます。
A: 十分性は証拠の量に関連。監査人の結論を支持するのに十分な証拠が収集されたか。誤謬リスク、重要性、利用可能な証拠品質に依存。

Q2: 最も信頼できる監査証拠を提供するものは次のうちどれですか?
A: 監査人が直接送受信する外部確認は独立第三者からで偏りがなく監査人がプロセスを管理できるため最も信頼性が高い。被監査者の操作リスクを削減。

Q3: 監査証拠の「適切性」は以下に関連します。
A: 適切性は証拠品質の尺度で関連性(テスト中アサーションとの関連)と信頼性(依存可能性)を包含。

Q4: 信頼性が最も低い監査証拠のタイプはどれですか?
A: 口頭での経営者供述は客観的に検証できず不正確で独立文書化不可のため最も信頼性が低い。常に他のより信頼性の高い証拠で裏付ける必要。

Q5: 監査報告書は次の目的に役立ちます。
A: 監査調書は監査の一次記録で、実施手続、取得証拠、到達結論、監査意見の基盤を文書化。品質レビューをサポートし将来の監査の参考。

Q6: 「裏付け証拠」の概念は次のことを意味します。
A: 裏付証拠は異なるソースから同じ結論を支持する追加証拠。複数ソースが同一所見を確認することで監査人の結論への信頼性を向上。

Q7: 次の要因のうち、監査証拠の信頼性に影響を与えないものはどれですか?
A: 監査人の個人的嗜好は証拠の客観的信頼性に影響しない。信頼性はソース、性質、時期、取得状況によって決定。

Q8: さまざまな情報源から取得した監査証拠に一貫性がない場合、監査人は次のことを行う必要があります。
A: 証拠が矛盾する場合、監査人は追加手続を実行して矛盾を調査。解決は結論に到達する前に不可欠。信頼性のない証拠は監査意見を支持できない。

Q9: 「最良の証拠」（原本）は通常、次の場合に必要となります。
A: ベストエビデンスは原本文書を指す。契約書、株式証券、権利証書などの原本は権利、義務、資産存在の主要証拠。

Q10: 電子監査証拠には、次の点について特別な考慮が必要です。
A: 電子証拠は真正性(主張通りか)、完全性(変更されていないか)、網羅性(関連データが全て含まれるか)を検証。証拠保全チェーンとメタデータ保存が重要。

Q11: 一般的に最も重要と考えられている研究文書はどれですか?
A: 要約(リード)スケジュールは各重要勘定の監査作業を要約し財務諸表数値に直接紐付け監査人の結論到達方法を示すため最も重要な調書。

Q12: 貸借対照表日より前に取得された監査証拠:
A: 貸借対照表日前の証拠は使用可能だが、期間中の変化を考慮する必要。証拠日と年度末間のイベントをカバーする追加手続(カットオフテスト、事後レビュー)が必要。

Q13: 「経営陣表明書」には次の内容が記載されています。
A: 経営者確認書は財務諸表への経営者責任、提供情報の完全性、監査人への伝達事項を確認。他の監査手続の代替ではなく補助的証拠。

Q14: 「直接証拠」とみなされるのは次のうちどれですか?
A: 直接証拠は監査人が観察、検査、または再実施を通じて直接取得する証拠。収集プロセスを監査人が管理するため間接証拠(二手情報)より信頼性が高い。

Q15: 監査における「証拠の優位性」基準とは、次のことを意味します。
A: 証拠の優越原則は利用可能な証拠が監査人の結論を明確に支持し矛盾証拠を上回ることを意味。絶対的確実性ではなく高い信頼水準。

Q16: ワーキングペーパーは、次の条件で指定された最低期間保存する必要があります。
A: 職業的基準と法的要件で調書の最低保管期間を規定。通常監査報告書日から5-7年。管轄と業務により要件は異なる。

Q17: 「オリジナルのソース文書」がコピーよりも信頼できる証拠の特徴はどれですか?
A: 原本文書はコピーが変更、詳細の欠落、または原本の不正確な表現の可能性があるためより信頼性が高い。真正性の高い度合の保証。

Q18: 「十分に適切な監査証拠」とは、監査人が以下を入手したことを意味します。
A: 十分適切な監査証拠の基準は監査リスクが許容可能な低水準に低減される閾値。絶対的確実性ではなく結論を支持する十分な品質証拠の収集。

Q19: 専門家から証拠を入手した場合、監査人は以下を評価する必要があります。
A: 専門家の作業を証拠として利用する場合、専門家の能力(資格、スキル)、ケイパビリティ(リソースと手法)、客観性(偏りの自由)を評価。

Q20: 「状況証拠」の例は次のうちどれですか?
A: 状況証拠は推論に基づき間接的に結論を支持。異常な財務比率(例: 売上高成長が業界平均を大幅に超過)は売上過大計上を示唆するが直接証明しない。

Q21: 監査報告書の日付以降の「その後の事実の発見」では、監査人は次のことを要求されます。
A: 報告書日後に報告書日当時存在した事実が発見された場合、監査人は重要性を評価し経営陣とガバナンス責任者と協議し、報告書改訂を含む適切な措置。

Q22: 「文書化」標準では、作業文書に次のことを要求しています。
A: 調書文書化基準は事前の関与のない経験豊富な監査人が手続の性質、時期、範囲、結果と到達結論を理解できる程度の十分な詳細。

Q23: 必要な監査証拠の量を減らす可能性が最も高い要因はどれですか?
A: 強力な内部統制は統制リスクを低減し必要な実質証拠量を削減。評価リスクが低いほど許容可能な低い監査リスク達成に必要な証拠量が少ない。

Q24: 監査人が直接入手した「第三者の証拠」は、次の理由からより信頼性が高くなります。
A: 第三者証拠は被監査者の管理と影響の外にあるソースから取得されるためより信頼性が高い。外部確認を被監査者が容易に操作できないため監査結論の支持により信頼。

Q25: 電子監査証拠のメタデータには、次の情報が含まれます。
A: メタデータは電子データについていつ、どのように、誰によって作成・変更・アクセスされたかのコンテキストを提供。電子証拠の真正性と完全性評価に不可欠。

